从《唐律疏义》看唐代封爵贵族的法律特权	从《唐律疏义》看唐代封爵贵族的法律特权《唐律疏义》,封爵贵族,法律特权
GPS工程控制网的优化设计与内业处理	GPS工程控制网的优化设计与内业处理GPS控制网;优化设计;内业处理;可靠性
重症感染患者如何控制血糖	糖尿病患者发生重症感染的临床治疗效果研究糖尿病患者,重症感染,临床,治疗效果
企业合并报表的会计问题分析	企业合并报表的会计问题分析企业,合并报表,会计问题
应激因素对大鼠肠道菌群影响及机制研究	应激因素对大鼠肠道菌群影响及机制研究应激;肠道菌群;炎性反应;肠黏膜屏障
甲状腺恶性潜能未定的滤泡性肿瘤	甲状腺恶性潜能未定的高分化肿瘤18例临床病理分析甲状腺,恶性潜能未定的高分化肿瘤,免疫组化,临床病理特征
Sextractor	SExtractor及其在深度巡天研究中的应用目标检测,深度巡天,光度学
适用于“一步酸溶法”生产氧化铝工艺中稀释料浆的高分子絮凝剂的合成	适用于“一步酸溶法”生产氧化铝工艺中稀释料浆的高分子絮凝剂的合成丙烯酰胺,共聚丙烯酰胺,阳离子聚丙烯酰胺,高温高酸体系
探讨凶险中央型前置胎盘的观察及护理效果	探讨凶险性中央型前置胎盘的观察及护理效果前置胎盘凶险性护理观察
网络意识形态 综述	新时代党的意识形态话语权研究综述——基于citespace知识图谱的可视化分析意识形态话语权,知识图谱,聚类分析,研究展望
不同降雨条件对边坡稳定性的影响	不同降雨条件对高填方边坡变形的影响研究机场工程;高填方边坡;降雨入渗;渗流场;变化规律
材料中有序纳米结构的原位可控构筑技术及其高性能化、功能化设计	材料中有序纳米结构的原位可控构筑技术及其高性能化、功能化设计有序纳米结构,原位可控构筑,高效强韧化,结构功能一体化
卒中    时间依赖	急性缺血性脑卒中患者血管内再灌注治疗时间与预后的关系
深度学习自然语言处理	深度学习在自然语言处理NLP中的应用研究自然语言处理,深度学习,数据挖掘
支气管肺炎 危害	小儿肺炎的危害
DRG 平均住院日	基于DRG的医院科室平均住院日目标管理平均住院日,DRG,时间消耗指数
浅析日本卡通绘画艺术—以奈良美智为例	浅析日本卡通绘画艺术—以奈良美智为例孤独感,超扁平,漫画,音乐
欧拉公式压杆稳定	压杆稳定临界力欧拉公式统一推导细长压杆,微小弯曲,压杆稳定,临界力,Euler公式
Fluent在绕流中的应用	FLUENT软件在圆柱绕流模拟中的应用圆柱绕流,FLUENT软件,雷诺数
浸润性乳腺癌肺结节	乳腺癌肺内转移瘤的CT影像诊断研究乳腺癌,肺内转移瘤,CT影像,诊断研究
1932 瑞典 奥兰德	形状记忆合金
美国排污许可证制度	美国大气固定源监管排污许可证管理制度研究大气污染控制,固定源,许可证制度,美国
超宽带定位 医疗	超宽带定位技术在医疗系统管理中的应用
扩张型心肌病病例	多发性肌炎引起扩张型心肌病1例误诊病例分析多发性肌炎,扩张型心肌病,炎性肌病
WHO（2014）卵巢肿瘤组织学分类	WHO(2014)卵巢肿瘤组织学分类卵巢肿瘤组织学,WHO,交界性肿瘤,黏液性囊腺瘤,子宫内膜样,卵巢网,纤维瘤病,成熟型畸胎瘤,Brenner,性索
七星瓢虫转录组分析	七星瓢虫触角转录组及嗅觉相关基因分析七星瓢虫,触角转录组,食性分化,基因注释,嗅觉相关基因
浅谈国有企业员工绩效考核制度	浅谈国有企业员工绩效考核制度绩效考核,国有企业,考核方法
(神经根型颈椎病) 中医辨证	辨证施护对神经根型颈椎病患者中医证候评分的影响辨证施护,神经根型颈椎病,中医证候评分,护理
部分颅骨切除减压术	大面积脑梗死内科标准治疗与联合部分颅骨切除减压术治疗效果的研究大面积脑梗死,内科标准治疗,颅骨切除减压术,病死率,预后
极低出生体重儿 亲母母乳	极低出生体重儿母亲在母婴分离期泌乳维持最佳证据总结极低出生体重儿,泌乳，泌乳维持,奶量
石油企业财务共享模式下的财务转型	石油企业财务共享模式下的财务转型财务共享,信息时代,财务管理,综合管理
热电阻集成电路设计	基于ADuC847的温度校准仪的设计ADuC847,LM317,温度校准仪
Eviews房价	基于EViews对江西省商品房价格影响因素的计量研究房价,多元线性模型,检验与修正,Eviews
中外医药交流史纲要--外来医药学对中医药学体系的影响	中外医药交流史纲要--外来医药学对中医药学体系的影响医药交流;中医药学;纲要
中英翻译中的问题	浅谈中国传统美食的英文翻译问题中国传统美食,英文翻译问题
植物修复有机污染综述	有机污染土壤的植物修复研究综述有机污染,植物修复,修复机理
乳腺癌放疗联合PD-1/PD-L1抑制剂研究进展	PD-1/PD-L1抑制剂联合其他方法 治疗乳腺癌的研究进展乳腺癌,程序性细胞死亡蛋白1,程序性细胞死亡蛋白1配体,联合治疗
小学数学 假设法	妙用\假设法\巧解数学题 ——用\假设法\解决小学中高年级数学实际问题的策略\假设法\,小学中高年级,数学实际问题,解决策略
andersson	强直性脊柱炎合并Andersson损害的研究进展脊柱炎,强直性,诊断,Andersson损害
铝合金锻压生产现状及锻件应用前景分析	铝合金锻压生产现状及锻件应用前景分析铝合金锻压生产,大、中型铝合金锻件,生产现状,发展水平,应用前景
罐形容器纤维缠绕机设计及仿真研究	罐形容器纤维缠绕机设计及仿真研究罐形容器纤维缠绕机;力学分析;运动学仿真;结构设计
高速列车外风挡研究进展	高速列车外风挡研究进展外风挡,类型,生产现状,存在问题
ZDJ9转辙机故障智能诊断系统的研究	ZDJ9转辙机故障智能诊断系统的研究
红细胞生成性原卟啉病	红细胞生成性原卟啉病1例并文献复习
肾部分切除术后肠穿孔	肝肾联合移植术后肠穿孔1例报告并文献复习肝移植/副作用,肾移植/副作用,肠穿孔/病因学
美国写作教学模式	美国写作教学模式的探讨写作过程,写作能力,教师,写作活动,写作教学模式,培养学生,作文教学,综合素质,写作课,高校写作教学
糖尿病特异性生存质量量表A-DQOL	聆听角调对肝郁化火型老年2型糖尿病伴失眠患者睡眠质量的影响糖尿病;失眠;肝郁化火证;角调音乐;睡眠质量;血糖控制;生存质量;老年患者
The  lotus  range  extender  engine	The Lotus Range Extender EngineAutomobile design,,Cylinder blocks,,Cylinder heads,,Engine design,,Hybrid vehicles,,Spark ignition engines
银行 宣传 思想	银行思想宣传工作系统的设计与实现商业银行;思想宣传工作系统;数据库;PHP技术;功能模块
土壤养分Landsat	黄土高原典型流域的植被特征及土壤养分响应的空间差异河流流域;植被群落;土壤养分;空间差异
Aerial 3D LED display by use of retroreflective sheeting	Aerial 3D LED display by use of retroreflective sheetingAerial display,,LED panel,,retroreflective sheeting
子宫内膜癌同步化疗	对比放疗、化疗以及同步放化疗术后辅助治疗晚期子宫内膜癌患者的疗效及对生存时间的影响晚期子宫内膜癌,放疗,化疗,同步放化疗
失能老人居家指南	基于长期护理保险体系下失能老人居家照护服务方案的构建长期护理,失能老人,居家照护,德尔菲专家咨询
用广播星历计算GPS	几种插值方法在GPS卫星轨道计算中的应用
三级医院 ICU导尿管相关感染	2016-2018年某三级甲等医院综合重症监护病房导尿管相关医院感染分析医院感染,导尿管,影响因素
尼龙6及其纳米复合材料的热氧稳定性研究	尼龙6及其纳米复合材料的热氧稳定性研究尼龙6;无机纳米材料;表面改性;热氧稳定性
jurkat细胞 CD4+细胞	脱氢表雄酮诱导CD4+T细胞系Jurkat细胞凋亡的初步探索脱氢表雄酮,Jurkat细胞,流式细胞仪,Fas/FasL
住院精神病病人外走原因分析及	住院精神病病人外走原因分析及护理对策探讨精神病病人,外走行为,护理对策
我国肉鸡发展现状	我国肉鸡生产加工现状与发展趋势肉鸡,现状,发展趋势
SPE型项目集成交付模式	IPD交付模式下SPE组织形式利益分配问题研究
MMSE-PIC	基于MMSE-PIC的MIMO SC-FDMA系统载波同步算法MIMO,SC-FDMA,并行干扰消除算法,MMSE-PIC
社区管理存在问题报告调研报告	基于环保视角下的自然保护区社区发展问题调研报告——以星斗山国家级自然保护区为例保护区,社区,发展,保护
流程化护理 胃肠镜检查	胃肠镜检查术中流程化护理的应用胃肠镜,检查术,流程化护理
浆置换应用羟乙基淀粉替代部分血浆治疗肝衰竭的临床观察	血浆置换应用羟乙基淀粉替代部分血浆治疗肝衰竭的临床观察血浆置换,羟乙基淀粉,肝衰竭
浅谈初中生物教学的重要性及策略	浅谈初中生物实验教学的重要性及策略初中生物,实验教学,重要性及策略
多西他赛联合高聚生局部治疗肺癌伴恶性胸腔积液疗效观察	多西他赛联合高聚生局部治疗肺癌伴恶性胸腔积液疗效观察高聚生,多西他赛,恶性胸腔积液,胸腔化疗
某印染废水处理工艺实例	某印染废水处理工程实例印染废水,废水回用,气浮,UASB,A2O,臭氧脱色,活性炭过滤
以计算机技术为依托的医院信息化建设探析	以计算机技术为依托的医院信息化建设探析计算机技术,医院,信息化
PCI 术中抗凝2b3a	英汉\移就\修辞格探讨英语,汉语,移就,修辞格,移觉,移情,暗喻,拟人,修饰语,修辞手法
40Cr钢棒材连轧过程温度场有限元模拟	40Cr钢棒材连轧过程温度场有限元模拟温度场,有限元,棒材
粽子包装设计教学与中国传统文化渗透的研究	粽子包装设计教学与中国传统文化渗透的研究粽子,包装设计,传统文化,渗透
腰椎手术失误和并发症分析	腰椎手术失误和并发症分析
全科医学 老年糖尿病	全科医学理论为指导治疗老年糖尿病的效果分析全科医学理论,治疗,老年糖尿病,效果分析
大明宫遗址区空间演化	大明宫遗址区空间演化机制与规划提升策略空间演化机制,规划提升策略,大明宫遗址区
（鲜食糯玉米育种研究概况）	鲜食糯玉米育种研究概况鲜食糯玉米,育种目标,育种方法
蛋白靶点药物作用	基于DBN的药物靶向蛋白质作用预测研究药物靶向蛋白质;相互作用预测;深度置信网络;扩展连通指纹;三肽结构
美国国家艺术馆东馆	浅析美国华盛顿航空航天博物馆——展示设计中展示形式的多样性
钢管混凝土柱定位	哈尔滨联通电信枢纽大厦钢管混凝土柱定位及偏差控制钢管柱,偏差,安装,质量控制,校正
全身应用糖皮质激素的不良反应及防治对策	全身应用糖皮质激素的不良反应及防治对策
重庆西南官话语音研究	重庆中部七区县方言音系调查研究重庆方言;语音系统;四川方言;田野调查;历史比较
分享类公众号运营	企业微信公众号的运营企业微信公众号,明确定位,增强黏性,坚持原创,品牌推广
浅析政府投资工程建设项目预算评审中经常出现的问题和相应对策	浅析政府投资工程建设项目预算评审中经常出现的问题和相应对策投资项目,预算评审,问题,对策
基于相变储能系统主动响应能力挖掘的配电网经济调度	基于相变储能系统主动响应能力挖掘的配电网经济调度配电网,潮流分布,相变储能系统,主动响应,经济调度
我亲爱的爸爸演唱分析	咏叹调《我亲爱的爸爸》的演唱分析处理《我亲爱的爸爸》,演唱,歌曲分析
A delay-tolerant network architecture for challenged	A delay-tolerant network architecture for challenged internets
柱状气液旋流器的入口形式优化	柱状气液旋流器的入口形式优化柱状气液旋流器,数值模拟,优化,入口形式
通用ETL工具的研究与实现	通用ETL工具的研究与实现数据仓库,数据抽取,数据转换,数据加载
集束化护理对肺炎患儿雾化吸入治疗的效果研究	集束化护理对肺炎患儿雾化吸入治疗的效果研究集束化护理策略,肺炎患儿,雾化吸入
	information technology
甲状腺癌 炎症性肠病	溃疡性结肠炎合并甲状腺癌
介绍一种事物 吴勇	《介绍一种事物》习作教学设计习作单元,教学设计,说明方法
持续经营能力评价	国有企业持续经营能力的评价研究国有企业;持续经营能力;评价指标
网上商城系统的设计与实现	网上商城系统的设计与实现网上商城系统;软件设计;功能模块;业务流程
促进深度学习的高校混合式教学设计研究	促进大学生深度学习的混合式教学设计与应用研究高等教育;深度学习;混合式教学;教学设计;高阶思维
儿童脊柱侧弯术后护理	围术期综合护理干预在儿童先天性特发性脊柱侧弯畸形手术中的应用围术期护理干预,特发性脊柱侧弯,快速康复
2019年中国临床肿瘤学会（CSCO）的肺癌诊疗指南	CSCO指南更新:精准“导航”赋能基层
工业控制系统信息安全	工业控制系统信息安全研究新动态工业控制系统,信息安全,系统架构,通信协议
中国肺癌筛查与早诊早治指南（2021,北京）	肺癌脑转移中国治疗指南(2021年版)肺肿瘤,脑转移,治疗,规范
我国第三方物流财务风险及控制分析	我国第三方物流财务风险及控制分析
工会的工作机制有待完善	高校工会服务教职工长效机制的研究——以Z高校为例高等院校;工会工作;教职工服务
波纹管挤压成型的有限	波纹管挤压成型的有限元分析及形状优化波纹管;挤压成型;力学性能;有限元分析;形状优化
家庭医生 慢性病 质量评价	家庭医生团队签约服务对慢性病健康管理的效果评价家庭医生团队签约服务,慢性病健康管理,效果
21世纪结核病控制与研究工作展望	21世纪结核病控制与研究工作展望
稀土掺杂种类及其应用	稀土掺杂氟化物纳米晶的宏量制备及其应用研究荧光探针;氟化物纳米晶;宏量制备;稀土掺杂
非钳夹式吻合口缝合法在腹腔镜离断式肾盂成形术中的应用	非钳夹式吻合口缝合法在腹腔镜离断式肾盂成形术中的应用腹腔镜,肾盂输尿管成形术,儿童,肾盂积水
Application of linear programming in production of mixing materials to sinter	线性规划在烧结矿配料中的应用成本,线性规划,电子表格,规划求解,目标规划,罚数权重
tensorflow的AlexNet	基于TensorFlow的不同深层卷积神经网络的对比与分析Tensorflow,深度卷积神经网络,VGGNet,ResNet,图像识别,深度学习
人乳头瘤病毒癌症	人乳头瘤病毒感染与常见癌症相关性的研究人乳头瘤病毒,HPV,检出率,癌症,肺癌,结直肠癌,……,SSP-PCR
耐药结核病的用药选择	结核病的耐药及其防治策略结核,耐药,预防,治疗
伴生放射性矿废物	伴生放射性矿开发利用产生的废物处理原则及监管建议伴生放射性矿废物,分类管理,处理原则
骨形态发生蛋白2和血管内皮生长因子165双基因转染骨髓基质干细胞的异位诱导成骨能力	骨形态发生蛋白2和血管内皮生长因子165双基因转染骨髓基质干细胞的异位诱导成骨能力干细胞,骨髓干细胞,骨髓基质干细胞,双基因修饰,BMP2,VEGF165,诱导成骨,碱性磷酸酶,脂质体
电动汽车充放电优化	考虑预警负荷的电动汽车充放电优化策略电动汽车,车辆到电网(V2G),预警负荷,充放电过程优化,改进粒子群算法
作者单位：徐州新城中学	新时代背景下高中语文教学中传统文化渗透策略
磺化纤维素开发用作新型	磺化纤维素开发用作新型减水剂及其分散机理研究磺化纤维素,减水剂,分散机理
化工工程伦理案例	基于案例分析的工程伦理课程实践工程伦理,案例分析,课程实践
烧结砖原料工艺性能与生产控制	烧结砖原料工艺性能与生产控制
CT图像中骨骼与软骨的自动分割算法研究	CT图像中骨骼与软骨的自动分割算法研究CT图像;骨骼结构;软骨组织;自动分割
农业物联网技术研究进展与发展趋势分	农业物联网技术研究进展与发展趋势分析农业物联网,农业信息感知,无线传感器网络,农业大数据,人工智能,集成应用
乙醇对临界胶束浓度的影响	温度、NaCl及乙醇对Tw80水溶液的临界胶束浓度的影响Tw80,临界胶束浓度,温度
真空玻璃 支撑柱	支撑柱缺位对弧面钢化真空玻璃支撑应力的影响弧面钢化真空玻璃,弹性力学,支撑柱缺位,支撑应力,变形,有限元
穿墙雷达方位向分辨率研究	穿墙雷达方位向分辨率研究穿墙雷达,方位向分辨率,宽带信号,误差
氮氧化物研究进展	催化降解氮氧化物的研究进展催化剂,氮氧化物,降解,研究进展
The frame is lightweight	The Lightweight design for Tractor frame of the Coal mine belt horizontal extension transfer machine
MPI 多维度疼痛量表	脊髓损伤后疼痛评估系统的使用及选择比较脊髓损伤,疼痛,疼痛评估,视觉模拟评分,麦吉尔疼痛问卷,轮椅使用者的肩部疼痛指数,疼痛数字评分法,简化多维疼痛量表,简明疼痛量表,慢性疼痛分级表
LSD-t检验鉴别	垂体大腺瘤的1H-MRS及T1ρWI的初步研究垂体大腺瘤;1H-磁共振谱检查;T1ρ加权像;临床观察
肺结核健康教育方案的构建	广西结核病防治模式的应用效果研究结核病;防治模式;实施效果;卫生调查
民事程序法与实体法关系的省思	民事诉讼法与民法关系省思——兼及民法典的编纂程序正义,民法典,民事诉讼法
精神分裂症谱系障碍	精神分裂症谱系障碍状态—特质分析及结构模型精神分裂症;谱系障碍;一轴症状;病理性人格
热缩聚法制备g-C3N4	高温热缩聚制备石墨相g-C3N4的研究高温热缩聚,石墨相g-C3N4,光电化学
低碳水饮食 肝病	非酒精性脂肪性肝病患者应用甘草酸二铵肠溶胶囊联合低碳生酮饮食疗法对肝脏脂肪含量及血浆FGF-21水平的影响非酒精性脂肪性肝病,脂肪含量,甘草酸二铵肠溶胶囊,低碳生酮饮食,肝功能
机器学习 动态规划	基于增强学习的移动机器人动态路径规划算法研究动态路径规划;增强学习;移动机器人;遗传算法
混凝土搅拌站技术现状及其发展趋势	混凝土搅拌站技术现状及其发展趋势混凝土搅拌站,技术现状,发展趋势
G-F指数测度百山祖兽类物种多样性	G-F指数测度百山祖兽类物种多样性G-F指数,兽类资源,百山祖国家级自然保护区,物种多样性
本科学前教育资源	\双师同堂\在应用型本科高校学前教育专业教学的实践构建路径 ——以《幼儿美术教育与活动指导》课程为例应用型本科高校,学前教育专业,幼儿美术教育
妊娠期糖尿病产妇早期母乳喂养体验的质性研究	妊娠期糖尿病产妇早期母乳喂养体验的质性研究妊娠期糖尿病,产妇,母乳喂养,体验,质性研究
	Grain refinement of AZ31 magnesium alloy by Al-Ti-C-Y master alloy
肝硬化上消化道出血内镜治疗	急诊内镜对肝硬化合并上消化道出血的诊断与治疗效果观察急诊内镜,肝硬化,上消化道出血,临床治疗
超窄行棉花精量排种器设计与性能试验	超窄行棉花精量排种器设计与性能试验棉花,精量排种器,超窄行
腰椎间盘突出 射频消融	早期康复护理对低温等离子射频消融腰椎间盘突出症患者术后疼痛及腰椎功能的影响腰椎间盘突出症,低温等离子射频消融,早期康复护理,术后疼痛,腰椎功能
对流传热公式推导	关于二维、常物性、无内热源的对流传热能量微分方程的简便推导办法对流传热,公式推导
医院医疗服务考核	县级公立医院医疗服务质量评价研究--以山东省三县为例县级公立医院;医疗服务;质量评价;财政投入;绩效考核
双向情感障碍患者自我效能感的相关因素	双相情感障碍患者自我效能感的相关因素研究双向情感障碍,自我效能感,相关因素研究
面向目标检测的对抗样本攻击	面向深度学习模型的对抗攻击与防御方法综述人工智能,深度学习,对抗攻击,安全防御,对抗样本
输液反应 不良反应	某院老年住院患者输液致药品不良反应的原因分析及护理应对静脉输液,药品不良反应,护理
红豆股份财务分析	江苏红豆股份财务分析服装行业,红豆股份,财务分析
一种改进自适应阈值的canny算法	一种改进自适应阈值的Canny算法Canny算子,边缘检测,双边滤波,Otsu法,最优化阈值分割法,信噪比
django vue	基于Node.js与REST风格的医保定点零售药店履约考核系统医保监管,零售药店,考核系统,Vue,Django,RESTful
浅海围栏牧场设施工程数值模拟分析	浅海围栏牧场设施工程数值模拟分析养殖围栏设施,桩柱,网片,数值模拟
中小企业营运资金管理	中小企业营运资金管理存在的问题中小企业,营运资金,营运资金管理
基于三维网页技术的Unity3D教学管理系统的设计与实现	基于三维网页技术的Unity3D教学管理系统的设计与实现三维网页技术;教学管理;软件系统;虚拟现实;Unity3D课程
. 创客教育背景下的高中信息技术教学创新探讨 . 新	创客教育背景下的高中信息技术教学创新探讨创客教育,信息技术,创新研究
单手穿刺送管退针  心	单手退针芯送套管法在留置针穿刺中的应用单手退针芯送套管法,外周静脉,穿刺
钢琴调整对演奏的影响	浅谈钢琴调整与调律对钢琴演奏的影响钢琴调整与调律,钢琴演奏,钢琴调律师,影响
混联式混合动力汽车模式切换控制研究	混合动力汽车模式切换协调性控制研究混合动力汽车;模式切换;协调控制;动力耦合机构;动力学分析;冲击度
《人格权编》应增设性自主权	《人格权编》应增设性自主权人格权,性利益,性自主权,贞操权
摄像机检测平台的系统开发	摄像机检测平台的系统开发摄像机,检测平台,MP-C154,DeckLink,COM组件
水 稻抗稻瘟病基因的分子标记与标记辅助育种研究进展	水稻抗稻瘟病基因的分子标记与标记辅助育种研究进展稻瘟病,抗性基因,功能标记,标记辅助育种
宋元时期的瘴疾与文化变迁	宋元时期的瘴疾与文化变迁瘴疾,宋元时期,南方地区,文化变迁
建筑工程深基坑降水及支护方案设计	建筑工程深基坑降水及支护方案设计——以某工程为例建筑工程,深基坑降水,支护方案
污染型建设项目环境影响	浅谈污染型建设项目环境影响评价技术评估要点分析污染型,建设项目,技术评估,要点分析
超声波流量计滤波	一种提高超声波多普勒流量计测量精度的方法超声波流量计,测量精度,Zoom FFT,卡尔曼滤波器,Matlab
下肢静脉曲张的自我保养与护理	下肢静脉曲张的自我保养与护理
内镜下鼓膜穿孔修复材料的比较	内镜下鼓膜穿孔修复材料的比较内镜,鼓膜修补术,软骨,筋膜,生物膜
机身亚音速大迎角非线性气动特性的数值计算	机身亚音速大迎角非线性气动特性的数值计算
配电网供电恢复MATLAB	基于分布式电源支撑的主动配电网供电恢复方法主动配电网;供电恢复;故障处理;分布式电源
氨基酸在沐浴露中应用	N-脂肪酰基谷氨酸系表面活性剂在日用化学品中的应用氨基酸,谷氨酸,表面活性剂,N-脂肪酰基谷氨酸盐
中小学辅导机构管理研究	基于法律视角的中小学校外辅导机构教师管理问题研究
荧光分子成像 癌症	癌症相关microRNA的荧光生物传感及活细胞成像方法研究非编码小分子核糖核酸;荧光生物传感;活细胞成像
小学语文学生课外阅读困境及对策探究	小学语文学生课外阅读困境及对策探究小学语文,学生,课外阅读,困境,对策
非经典 wittig	非经典 Wittig 反应的最新进展Wittig反应,酯,酰胺,酰亚胺,酸酐,唑酮
柳州市高校大学生对HPV疫苗的认知状况调查分析	柳州市高校大学生对HPV疫苗的认知状况调查分析柳州市,高校大学生,HPV疫苗,认知,接受度
低压断路器研究现状	国内外智能低压断路器的研究现状与发展趋势低压断路器,智能控制器,通信,保护功能
股东滥用股东权利	控股股东滥用权利之侵权责任研究 ——以少数股东为侵权研究对象诚信义务,股东权利滥用,封闭公司,资本多数决,公司集团化
不定式函数极限的七种	不定式函数极限的七种求法不定式极限,洛比达法则,泰勒公式
“MOOCS革命”	MOOCs革命:独立课程市场形成和高等教育世界市场新格局大规模开放在线课程,开放课程,教育市场,高等教育,认证
数字化转型 驱动因素	公司金融数字化转型的驱动因素及路径探析商业银行,数字化转型,供应链金融,金融创新
财政支农支出对农村可支配收入	——基于1982-2018年的时间序列数据农民人均可支配收入,财政支农支出,时间序列数据
活了一百万次的猫	《活了一百万次的猫》读后感读后感,主人公,寒假,哭
杨帆. 基于B/S结构的研究生学位管理信息系统的设计与实现	基于B/S结构的研究生学位管理信息系统的设计与实现研究生教育;学位管理;信息系统;软件设计;功能模块;浏览器/服务器架构
思维导图高年级小学英语语篇	思维导图在小学高年级英语语篇教学中的有效应用思路小学高年级,英语语篇,思维导图应用
乡村中学历史教学有效性研究	乡村中学历史教学有效性研究中学历史,教学,有效性
神经网络预测疫情	ARIMA乘积季节模型和LSTM深度神经网络对石家庄市手足口病疫情预测效果的比较手足口病,ARIMA,LSTM,月发病数,预测
我国人工模拟降雨土壤侵蚀试验研究综述	我国人工模拟降雨土壤侵蚀试验研究综述人工模拟降雨,土壤侵蚀,影响因素
桡骨远端骨折管型石膏和石膏夹板固定	桡骨远端骨折新型夹板的临床验证及改良设计桡骨远端骨折,牵引型,夹板,临床研究,改良设计
胃印戒细胞癌病理	胃印戒细胞癌的临床病理特征与外科综合治疗胃印戒细胞癌,病理特征,外科综合治疗
两种高温超导故障限流器的仿真及其比较	两种高温超导故障限流器的仿真及其比较
面肩肱进行性肌肉萎缩	一种罕见的运动神经元病亚型：散发性面肩肱型脊肌萎缩症一例并文献复习运动神经元病,面肩肱型脊肌萎缩症
低可酵解的低聚糖、双糖、单糖和多元醇饮食对肠易激综合征的疗效和机制的研究进展	低可酵解的低聚糖、双糖、单糖和多元醇饮食对肠易激综合征的疗效和机制的研究进展
数控编程与CAM	宏编程与CAM编程在数控大赛徽标加工中的实践宏编程,CAM,数控,Cimatron
经肋锁间隙入路行臂丛神经阻滞的研究进展	经肋锁间隙入路行臂丛神经阻滞的研究进展肋锁间隙,臂丛神经阻滞,超声引导,解剖基础,并发症
电扶梯设备故障原因分析及故障预防性维护策略研究)	电扶梯设备故障原因分析及故障预防性维护策略研究电扶梯,设备故障,预防性,维护策略
急性A型主动脉夹层术后急性肾损伤危险因素的系统评价与Meta分析	急性A型主动脉夹层术后急性肾损伤危险因素的系统评价与Meta分析主动脉夹层,急性肾损伤,危险因素,系统评价/Meta分析
小学数学分层作业设计	小学高年级数学课后作业分层设计的实践研究小学数学;高年级;课后作业;分层设计;策略分析
中国实施2020年全球生物多样性目标的进展	中国实施2020年全球生物多样性目标的进展爱知目标,指标体系,红色名录指数,海洋营养指数,就地保护,生境恢复
Soft manipulator senor	二指夹持二维力传感器的研究八角环传感器,灵巧机械手,优化,标定
机构养老面临的问题	我国机构养老发展所面临的问题和建议机构养老,虐老,设施,建议
新时代背景下构建社区老幼结合服务途径研究	新时代背景下构建社区老幼结合服务途径研究社区治理,老幼结合服务,养老模式创新
BIM技术建筑工程施工管理	BIM技术在建筑工程施工组织与管理中的应用研究BIM技术,建筑工程,施工组织管理
山西寿阳煤层气热电联产项目工程建设风险分析	山西寿阳煤层气热电联产项目工程建设风险分析煤层气产业;热电联产项目;风险管理;工程建设
lstm时间序列	基于ARIMA和LSTM混合模型的时间序列预测ARIMA,模型,SVR,深度LSTM,贝叶斯优化算法,时间序列预测
陈卫东 认罪认罚从宽制度研究	认罪认罚从宽制度研究认罪,认罚,从宽,司法审查
高速线材 工艺参数	工艺参数对60Si2MnA钢高速线材相变规律的影响60Si2MnA钢,热模拟试验,工艺参数,相变
红枣食品加工技术	绿色食品长红枣加工技术
\浅谈学校体育教学活动\	浅谈学校体育教学活动学校体育,体育教学,体育课
莱纳·弗斯特规范的宽容理论研究	莱纳·弗斯特规范的宽容理论研究莱纳·弗斯特,宽容,规范性,互惠性与普遍性
松江区全科医师知识技能掌握及培训需求调查分析	松江区全科医师知识技能掌握及培训需求调查分析全科医师,知识技能,培训需求
基于服务导向的人力资源管理研究	基于服务导向的人力资源管理研究服务导向,人力资源管理,以人为本
五音疗法 骨科 焦虑	五音疗法结合耳穴埋豆在老年腰椎间盘突出症伴焦虑睡眠障碍患者中的应用效果五音疗法,耳穴埋豆,椎间盘突出,焦虑,睡眠障碍
应急灯设计与制作	机房用自动应急灯的设计制作
阿司匹林辅助脑梗塞	血栓性脑梗塞患者急诊治疗中采用阿司匹林辅助治疗减轻神经系统损伤的作用血栓性脑梗塞,急诊治疗,阿司匹林,神经系统损伤
现代日常生活批判道路的开拓	现代日常生活批判道路的开拓与探索——列斐伏尔哲学思想研究列斐伏尔;哲学思想;日常生活批判;马克思主义
医院护理管理体系	传染病专科医院新型冠状病毒肺炎护理应急管理体系构建与实施新型冠状病毒肺炎,传染病,专科医院,应急管理,体系构建,护理管理
水性涂料的应用及发展前景胡明霞	水性涂料的应用及发展前景水性涂料,水性涂料应用,水性涂料前景
国有企业并购重组	论国有企业的并购重组问题——以A公司并购为例并购重组,国有企业,整合
相场法模拟烧结后期	相场法模拟烧结后期陶瓷晶粒生长及气孔组织演化研究相场法,烧结,气孔,晶界
银行 租赁住房  策略	JS银行南昌住房租赁金融业务发展策略研究商业银行;住房租赁金融;社会责任;盈利性
基于无人机影像的运动恢复结构技术（SfM）研究	基于无人机影像的运动恢复结构技术(SfM)研究无人机影像;运动恢复结构;三维重建;图像预匹配;关键帧提取
腹部 低蛋白血症	腹部大手术围手术期低蛋白血症的原因及治疗进展外科手术,腹部,低蛋白血症,炎症,综述
网络调查的问题及解决方法	网络调查的问题及解决方法网络调查,问题,对策
二甲双胍 门冬胰岛素 妊娠期糖尿病 新生儿	盐酸二甲双胍联合门冬胰岛素治疗妊娠期糖尿病的临床效果及对妊娠结局和新生儿的作用分析盐酸二甲双胍,门冬胰岛素,统计学
马拉喀什  高级英语	《马拉喀什》与奥威尔的文学观
点火参数对直喷汽油机废气稀释燃烧的影响	点火参数对直喷汽油机废气稀释燃烧的影响直接喷射,汽油机,废气稀释燃烧,点火时刻,点火能量
